Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[karyotype]	Comment[additional information]	Characteristics[block]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[developmental stage]	Factor Value[organism part]
HDBR272	ERS1221351	SAMEA4050241	Homo sapiens	11826	Carnegie Stage 23	basal ganglion	right	46, XX	 	sequencing batch:FC2014_038	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR272	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR272_CGTACG_L006	sequencing assay	ERX1544077	HDBR272_CGTACG_L006_1.fq.gz	HDBR272_CGTACG_L006_1.fq.gz	ERR1472952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1472952/ERR1472952_1.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR272	ERS1221351	SAMEA4050241	Homo sapiens	11826	Carnegie Stage 23	basal ganglion	right	46, XX	 	sequencing batch:FC2014_038	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR272	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR272_CGTACG_L006	sequencing assay	ERX1544077	HDBR272_CGTACG_L006_2.fq.gz	HDBR272_CGTACG_L006_2.fq.gz	ERR1472952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/002/ERR1472952/ERR1472952_2.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR281	ERS1221352	SAMEA4050242	Homo sapiens	11827	Carnegie Stage 23	basal ganglion	left	46, XX	 	sequencing batch:FC2014_038	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR281	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR281_TTAGGC_L008	sequencing assay	ERX1544078	HDBR281_TTAGGC_L008_1.fq.gz	HDBR281_TTAGGC_L008_1.fq.gz	ERR1472953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1472953/ERR1472953_1.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR281	ERS1221352	SAMEA4050242	Homo sapiens	11827	Carnegie Stage 23	basal ganglion	left	46, XX	 	sequencing batch:FC2014_038	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR281	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR281_TTAGGC_L008	sequencing assay	ERX1544078	HDBR281_TTAGGC_L008_2.fq.gz	HDBR281_TTAGGC_L008_2.fq.gz	ERR1472953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/003/ERR1472953/ERR1472953_2.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR282	ERS1221353	SAMEA4050243	Homo sapiens	11827	Carnegie Stage 23	basal ganglion	right	46, XX	 	sequencing batch:FC2014_038	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR282	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR282_ATCACG_L002	sequencing assay	ERX1544079	HDBR282_ATCACG_L002_1.fq.gz	HDBR282_ATCACG_L002_1.fq.gz	ERR1472954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1472954/ERR1472954_1.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR282	ERS1221353	SAMEA4050243	Homo sapiens	11827	Carnegie Stage 23	basal ganglion	right	46, XX	 	sequencing batch:FC2014_038	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR282	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR282_ATCACG_L002	sequencing assay	ERX1544079	HDBR282_ATCACG_L002_2.fq.gz	HDBR282_ATCACG_L002_2.fq.gz	ERR1472954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/004/ERR1472954/ERR1472954_2.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR291	ERS1221354	SAMEA4050244	Homo sapiens	11846	Carnegie Stage 23	basal ganglion	left	46, XX	 	sequencing batch:FC2014_030	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR291	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR291_TGACCA_L003	sequencing assay	ERX1544080	HDBR291_TGACCA_L003_1.fq.gz	HDBR291_TGACCA_L003_1.fq.gz	ERR1472955	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1472955/ERR1472955_1.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR291	ERS1221354	SAMEA4050244	Homo sapiens	11846	Carnegie Stage 23	basal ganglion	left	46, XX	 	sequencing batch:FC2014_030	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR291	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR291_TGACCA_L003	sequencing assay	ERX1544080	HDBR291_TGACCA_L003_2.fq.gz	HDBR291_TGACCA_L003_2.fq.gz	ERR1472955	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/005/ERR1472955/ERR1472955_2.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR292	ERS1221355	SAMEA4050245	Homo sapiens	11846	Carnegie Stage 23	basal ganglion	right	46, XX	 	sequencing batch:FC2014_030	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR292	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR292_TAGCTT_L003	sequencing assay	ERX1544081	HDBR292_TAGCTT_L003_1.fq.gz	HDBR292_TAGCTT_L003_1.fq.gz	ERR1472956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1472956/ERR1472956_1.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
HDBR292	ERS1221355	SAMEA4050245	Homo sapiens	11846	Carnegie Stage 23	basal ganglion	right	46, XX	 	sequencing batch:FC2014_030	organism part	P-MTAB-50473	HDBR - www.HDBR.org	P-MTAB-50722	 HDBR - www.HDBR.org	P-MTAB-50723	AROS - arosab.com	P-MTAB-50724	HDBR292	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	100	50	5'-3'-3'-5'	P-MTAB-50725	AROS - arosab.com	HDBR292_TAGCTT_L003	sequencing assay	ERX1544081	HDBR292_TAGCTT_L003_2.fq.gz	HDBR292_TAGCTT_L003_2.fq.gz	ERR1472956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/006/ERR1472956/ERR1472956_2.fastq.gz	200	101	Carnegie Stage 23	basal ganglion
