sample	problems	Centre	BAMsize	Tophat	RSeQC	Filter	ValidateSAM	Clip	Index
15240		Edinburgh	11	3587	3653		10959		
15329		Cardiff		7478	7517		11193		
15468		Edinburgh	15	Done	3318	3484	11058		
15533		Exeter	19	4350	4367		11059		
15641		Exeter	18	3337	3528/3692		11070		
15655		Edinburgh	13	3411	3891		11069		
15768		Edinburgh	18	Done	Done	3485	11068		
16024		Exeter	16	3338	3529/3693		11067		
16115		Exeter	16	3339	3531/3694		11114		
16117		Cardiff		7479	7541		11187		
16286		Edinburgh	7	Done	Done	3486	11115		
16385		Exeter	11	3340	3532/3695		11116		
16428		Exeter		3341	3533/3696		11176		
16438		Edinburgh		Done	3312	3487	11118		
16483	multiple libraries	Edinburgh		3412	3434		11446		
16488		Edinburgh		Done	Done	3488	11119		
16491		Exeter		3342	3534/3697		11077		
16548		Exeter		3343	3535/3699		11078		
16640		Edinburgh		3413	3565		11120		
16649		Edinburgh		3588	3654		11121		
16810		Exeter		3365	3441		11122		
16826		Exeter		3345	3536/3700		11082		
16840		Exeter		Done	3317	3489	11033		
16859		Cardiff		7480	7513		11275		
16929		Exeter		Done	3313	3490	11084		
16972	=VCF for 16929	Edinburgh		Done	3892	3491	11123		
17013		Edinburgh		3414	3536		11037		
17025	very low read numbers	Edinburgh		3415	3433		11124		
17048		Exeter		3346	3442		11130		
17049		Edinburgh		Done	3322	3492	11125		
17053		Exeter		3347	3537/3890		11087		
17054	2 libraries	Edinburgh		Done	Done	3493	11276		
17068		Exeter		Done	Done	3494	11088		
17071		Exeter		3348	3443		11131		
17072		Edinburgh		3589	3655		11090		
17081		Edinburgh		Done	Done	3495	11132		
17087		Edinburgh		Done	3314	3496	11092		
17109		Exeter		Done	3310	3497	11093		
17115		Edinburgh		Done	Done	3498	11094		
17130		Edinburgh		Done	Done	3499	11095		
17160		Edinburgh		3590	3648		11133		
17167		Edinburgh		3591	3656		11097		
17175		Edinburgh		3592	3657		11098		
17198	lots of intergenic reads	Edinburgh		3436	3567		11099		
17221		Cardiff		7481	7501		11277	9935	
17229		Edinburgh		3437	3568		11126		
17333		Edinburgh		3438	3569		11128		
17369		Edinburgh		3603	3676		11129		
17372		Cardiff		7482	7542		11334		
17475		Edinburgh		3439	3570		11134		
17543		Edinburgh		3444	3571		11135		
17629		Edinburgh		3572	3597		11136		
17671		Edinburgh		3604	3663		11137		
17701		Edinburgh		Done	3323/3691	3500	11138		
17812		Edinburgh		Done	Done	3540	11139		
17835		Edinburgh		3573	3599		11140		
17922		Edinburgh		3605	3671		11141		
17923		Edinburgh		3606	3672		11142		
18055		Edinburgh		3607	3677		11197		
18208	labeled 18121 (but male!)	Edinburgh		3608	3673		11198		
18121	labeled 18121 (but male!)	Edinburgh		3608	3673		11198		
18134		Edinburgh		3610	3674		11199		
18153	2 libraries	Edinburgh		3658	3706		see 18153-2		
18241		Edinburgh		3659	3684		11200		
18249		Edinburgh		3574	3609		11201		
18266		Edinburgh		3660	3707		11202		
18282		Edinburgh		3661	3685		11203		
18294		Edinburgh		Done	3315	3502	11204		
18349		Edinburgh		Done	Done	3539	11205		
18355		Edinburgh		3662	3708		11206		
18372		Edinburgh		3575	3649		11260		
18432		Edinburgh		3687	3750		11208		
18559		Edinburgh		3688	3724		11209		
18596		Edinburgh		Done	Done	3504	11210		
18653		Cardiff		7483	7502		11287		
18655	multiple libraries	Edinburgh		Done	3319	3505	11420		
18666		Edinburgh		3576	3600		11211		
18687		Edinburgh		Done	3324	3506	11212		
18694		Edinburgh		3689	3725		11213		
18983		Edinburgh		3577	3650		11214		
19031		Cardiff		7484	7503		11288		
19043		Edinburgh		3578	3601		11215		
19052		Edinburgh		3579	3602		11216		
15533-2		Exeter		3751	3858		11311		
17921	=17921-l1	Exeter		3349	3541/3889		11218		
17921-l1	=17921-l1	Exeter		3349	3541/3889		11218		
A138		Edinburgh		3585	3651		11318		
A138-2	duplicate	Cardiff		7485	7504		see A138		
A151		Cardiff		7486	7516		11352		
A226		Edinburgh		3586	3652		11339		
A226-2	duplicate	Cardiff		7487	7505		see A226		
A254		Cardiff		7488	7514		11353		
A263		Cardiff		7489	7506		11354		
15296		Cardiff		7811/7910			11319		
16483-2		Cardiff		7812/7935			see 16483		
17046		Cardiff		7813/7906			11342		
17111		Cardiff		7814/7913			11320		
17162		Cardiff		7815/7934			11321		
17193		Cardiff		7816/7907			11322		
17264		Cardiff		7817/7914			11323		
17486		Cardiff		7818/7958			11343		
17521		Cardiff		7819/7919			11324		
17666		Cardiff		7820/7912			11325		
17753		Cardiff		7821/7962			11344		
17754		Cardiff		7822			11326		
17932		Cardiff		7823/7959			11345		
18015		Cardiff		7824/7920			11327		
18139		Cardiff		7825/7961			11346		
18382		Cardiff		7826/7916			11347		
18528		Cardiff		7827/7933			11328		
18529		Cardiff		7828/7915			11348		
18540		Cardiff		7829/7909			11329		
18611		Cardiff		7830/7917			11330		
18655-2		Cardiff		7831/7911			see 18655		
18856		Cardiff		7832/7921			11331		
A139		Cardiff		7833/7960			11356		
A145		Cardiff		7834/7932			11332		
18153-2	both libraries	Edinburgh					11335		
17054-2	both libraries	Edinburgh					11349		
11875		Cardiff							
12107		Cardiff							
12545		Cardiff							
12546		Cardiff							
12994		Cardiff							
13142		Cardiff							
12993		Cardiff							
13008		Cardiff							
